;2021-05-19;2021-05-20
JHSF3.SA;7.55;7.61
ITUB4.SA;29.13;29.29
USIM5.SA;20.54;20.28
VALE3.SA;112.25;111.11
BBSE3.SA;23.33;23.63
MOVI3.SA;16.58;17.78
RENT3.SA;59.76;62.47
MULT3.SA;24.57;25.11
TAEE11.SA;39.25;39.38
SULA11.SA;31.8;32.02
ENGI11.SA;45.47;45.92
BRAP4.SA;71.17;70.62
CRFB3.SA;20.44;20.68
EMBR3.SA;15.89;16.15
MYPK3.SA;16.2;17.17
PCAR3.SA;34.95;35.14
HAPV3.SA;14.56;14.91
HYPE3.SA;35.08;35.39
CPFE3.SA;28.56;28.76
CSMG3.SA;17.53;17.5
DTEX3.SA;21.21;21.17
ECOR3.SA;12.05;12.42
HGTX3.SA;28.63;29.44
GUAR3.SA;18.8;19.29
BRDT3.SA;25.28;25.35
ELET3.SA;42.4;41.7
MRFG3.SA;19.0;19.04
PARD3.SA;20.36;21.15
SAPR11.SA;20.56;20.6
IGTA3.SA;42.0;43.25
CSNA3.SA;47.25;47.2
BBAS3.SA;32.7;33.0
OIBR3.SA;1.55;1.57
PRIO3.SA;18.26;17.73
TOTS3.SA;30.58;31.76
NTCO3.SA;50.65;50.82
VLID3.SA;9.73;9.93
GRND3.SA;9.28;9.46
CIEL3.SA;3.9;3.93
IRBR3.SA;6.08;6.09
SUZB3.SA;65.94;63.18
ABEV3.SA;17.56;17.54
CYRE3.SA;23.1;23.2
BRKM5.SA;51.17;49.98
LINX3.SA;37.35;37.28
OMGE3.SA;37.25;37.14
JBSS3.SA;29.89;30.24
VULC3.SA;8.59;8.5
RADL3.SA;26.72;27.05
BRPR3.SA;9.15;9.22
MGLU3.SA;18.68;18.74
VVAR3.SA;12.05;11.91
GGBR4.SA;35.47;34.3
CCRO3.SA;13.79;13.68
AZUL4.SA;39.8;40.21
GFSA3.SA;4.48;4.46
LOGN3.SA;19.02;19.0
PETR4.SA;26.15;25.93
BPAN4.SA;19.07;20.83
DIRR3.SA;13.56;14.25
COGN3.SA;4.01;3.99
BPAC11.SA;115.66;119.31
BRFS3.SA;22.02;23.16
POMO4.SA;2.8;2.84
WEGE3.SA;31.6;31.86
TCSA3.SA;7.85;8.2
SQIA3.SA;21.74;22.05
POSI3.SA;12.29;12.56
LOGG3.SA;29.09;29.39
LCAM3.SA;25.01;26.29
LIGT3.SA;16.5;17.09
ENEV3.SA;16.75;16.88
CCPR3.SA;12.05;12.6
CARD3.SA;24.41;24.1
ANIM3.SA;12.11;12.28
AMAR3.SA;6.55;6.66
TRIS3.SA;10.39;10.49
MRVE3.SA;17.35;17.78
RAPT4.SA;14.48;14.93
TIMS3.SA;;11.97
CAML3.SA;9.6;9.65
CESP6.SA;24.88;25.0
MEAL3.SA;3.84;3.86
SMTO3.SA;33.03;33.67
JPSA3.SA;28.89;29.42
CPLE6.SA;6.03;6.11
CMIG4.SA;13.27;13.06
UNIP6.SA;88.92;88.01
RSID3.SA;11.09;11.25
WIZS3.SA;12.43;12.38
SLCE3.SA;48.4;49.09
ODPV3.SA;12.92;13.1
PSSA3.SA;51.75;51.58
CPLE3.SA;5.48;5.51
KEPL3.SA;51.9;52.24
NEOE3.SA;17.55;17.62
BEES3.SA;5.05;5.09
SBFG3.SA;;28.71
TEND3.SA;24.66;24.65
LAME4.SA;19.06;18.82
EQTL3.SA;25.65;25.73
SHUL4.SA;10.39;10.0
CVCB3.SA;24.18;23.82
SMLS3.SA;22.13;22.28
GOLL4.SA;25.91;25.94
B3SA3.SA;17.22;17.25
ITSA4.SA;10.74;10.78
IVVB11.SA;;238.0
KLBN11.SA;26.8;26.16
BBDC4.SA;25.57;25.81
SANB11.SA;41.03;40.81
BEEF3.SA;9.46;9.6
